City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,sena madureira,-9.0656,-68.6569,36.09,34,16,0.88,BR,1718215219
271,khanabad,36.6825,69.1156,32.08,17,0,2.81,AF,1718215219
272,skelleftea,64.7507,20.9528,17.78,69,20,2.06,SE,1718215219
273,kudahuvadhoo,2.6708,72.8944,28.73,75,10,4.14,MV,1718215220
274,liman,48.9884,37.8023,19.25,90,95,1.08,UA,1718215220
275,kenai,60.5544,-151.2583,10.57,78,100,3.09,US,1718215220
276,pisco,-13.7,-76.2167,18.03,82,40,4.63,PE,1718215221
277,queenstown,-31.8976,26.8753,9.6,48,0,0.71,ZA,1718215221
278,guerrero negro,27.9769,-114.0611,21.79,60,0,7.12,MX,1718215221
279,muli,2.9167,73.5667,28.66,76,46,4.38,MV,1718215222
280,tambopata,-12.7333,-69.1833,24.94,94,75,1.54,PE,1718215222
281,strugi-krasnyye,58.2675,29.1114,13.36,76,100,2.07,RU,1718215223
282,alofi,-19.0595,-169.9187,23.94,88,75,3.6,NU,1718215223
283,esperanza,19.5847,-70.9849,34.05,57,52,3.58,DO,1718215224
284,skowhegan,44.7651,-69.7192,22.31,92,99,1.02,US,1718215224
285,kailua-kona,19.6406,-155.9956,26.1,81,8,0.61,US,1718215224
286,gebeit,21.0667,36.3167,33.12,15,5,2.74,SD,1718215225
287,luau,-10.7073,22.2247,18.3,40,21,1.75,AO,1718215225
288,ugoofaaru,5.6667,73.0,28.8,77,100,5.03,MV,1718215226
289,crane,31.3974,-102.3501,30.8,41,0,1.48,US,1718215226
290,port blair,11.6667,92.75,29.02,84,40,3.09,IN,1718215226
291,fortaleza,-3.7227,-38.5247,31.07,66,75,5.66,BR,1718215226
292,fiorenzuola d'arda,44.9221,9.909,20.34,62,40,7.72,IT,1718215227
293,hithadhoo,-0.6,73.0833,28.65,71,20,1.36,MV,1718215227
294,harar,9.3094,42.1258,16.65,82,85,2.71,ET,1718215227
295,mollendo,-17.0231,-72.0147,19.02,71,97,3.24,PE,1718215228
296,omdurman,15.6445,32.4777,38.92,12,2,0.44,SD,1718215228
297,zyryanovsk,49.7386,84.2719,12.63,90,17,0.7,KZ,1718215229
298,tonkino,57.3726,46.4629,17.2,94,54,2.83,RU,1718215229
299,la asuncion,11.0333,-63.8628,28.9,66,90,7.81,VE,1718215229
300,arcos,-20.2819,-45.5394,28.05,25,0,2.87,BR,1718215230
301,new norfolk,-42.7826,147.0587,5.72,88,100,0.79,AU,1718215230
302,ta`u,-14.2336,-169.5144,27.85,83,100,7.95,AS,1718215230
303,manismata,-2.4667,111.0333,23.71,96,100,0.61,ID,1718215231
304,alton north (historical),26.2953,-98.3045,37.74,53,0,0.89,US,1718215231
305,rongelap,11.1635,166.8941,28.04,82,34,9.9,MH,1718215232
306,pingnan,23.5543,110.3976,26.15,93,100,0.08,CN,1718215233
307,kitgum,3.2783,32.8867,19.64,91,71,1.13,UG,1718215233
308,worland,44.0169,-107.9554,31.49,35,0,0.89,US,1718215233
309,waingapu,-9.6567,120.2641,23.08,89,24,2.59,ID,1718215234
310,redencao,-4.2258,-38.7306,28.3,72,100,3.32,BR,1718215234
311,salzwedel,52.85,11.15,13.34,83,86,4.34,DE,1718215234
312,nagqu,31.5,92.0,7.55,66,100,2.61,CN,1718215235
313,bayanhongor,46.7167,100.1167,6.36,75,9,1.64,MN,1718215235
314,ushibukamachi,32.1906,130.0228,21.86,89,100,2.01,JP,1718215236
315,luderitz,-26.6481,15.1594,15.83,68,0,4.28,NA,1718215236
316,tolanaro,-25.0319,46.9987,21.04,88,75,6.17,MG,1718215236
317,puerto san jose,13.9256,-90.8244,29.71,73,100,4.82,GT,1718215237
318,cabo san lucas,22.8909,-109.9124,28.75,42,33,1.79,MX,1718215010
319,severo-yeniseyskiy,60.3725,93.0408,18.1,59,96,1.34,RU,1718215237
320,siesta key,27.302,-82.5515,33.95,67,47,0.89,US,1718215238
321,benque viejo el carmen,17.075,-89.1392,30.01,74,75,0.0,BZ,1718215238
322,paita,-5.0892,-81.1144,22.99,71,37,5.91,PE,1718215238
323,christiana,-27.914,25.1611,13.78,36,4,3.9,ZA,1718215239
324,ad dawadimi,24.5077,44.3924,38.64,18,80,4.88,SA,1718215239
325,lahaina,20.8783,-156.6825,27.22,87,9,3.7,US,1718215239
326,ha'il,27.5219,41.6907,36.01,12,0,5.14,SA,1718215240
327,palafrugell,41.9174,3.1631,14.7,95,90,1.34,ES,1718215169
328,afaahiti,-17.75,-149.2833,23.94,64,58,6.42,PF,1718215240
329,worthington,40.0931,-83.018,28.36,41,2,1.79,US,1718215241
330,road town,18.4167,-64.6167,31.02,70,75,4.12,VG,1718215241
331,olinda,-8.0089,-34.8553,28.85,70,75,7.72,BR,1718215242
332,yanbu,24.0891,38.0637,34.02,46,20,9.26,SA,1718215242
333,richards bay,-28.783,32.0377,18.91,55,0,3.23,ZA,1718215242
334,balykshi,47.0667,51.8667,27.0,39,0,3.0,KZ,1718215243
335,vadso,70.0744,29.7487,6.09,81,75,6.69,NO,1718215243
336,minas de marcona,-15.2119,-75.1103,20.22,48,79,4.29,PE,1718215243
337,rodolfo sanchez taboada,31.7167,-116.5667,20.61,71,1,1.34,MX,1718215244
338,nadi,-17.8,177.4167,21.0,94,20,3.09,FJ,1718215244
339,lensk,60.7253,114.9278,13.26,74,59,1.37,RU,1718215245
340,camacupa,-12.0167,17.4833,14.91,38,3,0.87,AO,1718215245
341,sisimiut,66.9395,-53.6735,0.65,99,100,4.76,GL,1718215245
342,punta del este,-34.9667,-54.95,21.06,95,100,0.51,UY,1718215246
343,uray,60.1247,64.7758,20.45,86,65,2.9,RU,1718215246
344,las tablas,7.7667,-80.2833,29.62,73,100,2.52,PA,1718215246
345,chibougamau,49.9168,-74.3659,21.79,53,40,6.69,CA,1718215247
346,homer,59.6425,-151.5483,10.58,75,45,0.82,US,1718215247
347,puerto penasco,31.3167,-113.5333,34.99,54,0,3.09,MX,1718215247
348,enewetak,11.3474,162.3373,27.84,83,20,8.36,MH,1718215248
349,palmas,-10.2128,-48.3603,31.93,35,0,5.14,BR,1718215248
350,revda,56.801,59.9303,18.49,92,73,2.63,RU,1718215248
351,baotou,40.6522,109.8222,25.64,28,28,3.08,CN,1718215249
352,cam ranh,11.9214,109.1591,29.98,79,20,0.51,VN,1718215249
353,jayapura,-2.5333,140.7,24.66,96,100,0.93,ID,1718215249
354,haiku-pauwela,20.9219,-156.3051,26.23,81,29,4.02,US,1718215250
355,san antonio de pale,-1.4014,5.6325,24.93,82,79,4.79,GQ,1718215250
356,kavieng,-2.5744,150.7967,27.72,78,95,3.9,PG,1718215250
357,port victoria,0.0939,33.9756,22.16,70,31,2.39,KE,1718215251
358,dange,12.8513,5.3471,35.11,31,69,5.27,NG,1718215251
359,kayangel,8.0823,134.7173,28.44,78,97,3.77,PW,1718215252
360,binzhou,37.3667,118.0167,26.83,49,14,2.85,CN,1718215252
361,cidreira,-30.1811,-50.2056,22.53,74,32,2.77,BR,1718215252
362,lazarevskoye,43.9061,39.3331,22.09,77,38,1.11,RU,1718215253
